"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3229","Registrando form Info operativa","chromium","Thu Sep 19 12:35:11 COT 2024","passed","Thu Sep 19 12:35:14 COT 2024","","regressionTest/operaciones/04-info_operativa.spec.js","",""
"","2444","Hover","webkit","Thu Sep 19 12:37:37 COT 2024","passed","Thu Sep 19 12:37:40 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3531","Registrando formulario facturas","chromium","Thu Sep 19 12:35:07 COT 2024","passed","Thu Sep 19 12:35:11 COT 2024","","regressionTest/operaciones/02-facturas.spec.js","",""
"","5104","test login","firefox","Thu Sep 19 12:36:26 COT 2024","passed","Thu Sep 19 12:36:31 COT 2024","","regressionTest/operaciones/00-login.spec.js","",""
"","3869","Registrando formulario facturas","webkit","Thu Sep 19 12:37:49 COT 2024","passed","Thu Sep 19 12:37:53 COT 2024","","regressionTest/operaciones/02-facturas.spec.js","",""
"","30066","test","firefox","Thu Sep 19 12:35:44 COT 2024","broken","Thu Sep 19 12:36:14 COT 2024","","regressionTest/crear_cuenta/00-registar_datos_personales.spec.ts","",""
"","4104","Element.visible","firefox","Thu Sep 19 12:36:22 COT 2024","passed","Thu Sep 19 12:36:26 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30148","Check","chromium","Thu Sep 19 12:34:27 COT 2024","broken","Thu Sep 19 12:34:57 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3400","Registrando formulario Info Financiera","chromium","Thu Sep 19 12:35:09 COT 2024","passed","Thu Sep 19 12:35:13 COT 2024","","regressionTest/operaciones/03-info_financiera.spec.js","",""
"","30263","Validar redirección a la sección ""Udemy""","chromium","Thu Sep 19 12:35:14 COT 2024","broken","Thu Sep 19 12:35:44 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","3683","test login","chromium","Thu Sep 19 12:35:06 COT 2024","passed","Thu Sep 19 12:35:09 COT 2024","","regressionTest/operaciones/00-login.spec.js","",""
"","2072","Load Staging Environment","webkit","Thu Sep 19 12:37:09 COT 2024","passed","Thu Sep 19 12:37:11 COT 2024","","regressionTest/HealtCheck/00_Read_Environment.spec.ts","",""
"","2974","Handle iFrames","chromium","Thu Sep 19 12:35:00 COT 2024","passed","Thu Sep 19 12:35:03 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","1484","Handle nested Frames","chromium","Thu Sep 19 12:35:00 COT 2024","passed","Thu Sep 19 12:35:02 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
